,904,basinwide_average
1924-10-01,-999.0,-999.9
1924-11-01,-999.0,-999.9
1924-12-01,-999.0,-999.9
1925-01-01,-999.0,-999.9
1925-02-01,-999.0,-999.9
1925-03-01,-999.0,-999.9
1925-04-01,-999.0,-999.9
1925-05-01,-999.0,-999.9
1925-06-01,-999.0,-999.9
1925-07-01,-999.0,-999.9
1925-08-01,-999.0,-999.9
1925-09-01,-999.0,-999.9
1925-10-01,-999.0,-999.9
1925-11-01,-999.0,-999.9
1925-12-01,-999.0,-999.9
1926-01-01,-999.0,-999.9
1926-02-01,-999.0,-999.9
1926-03-01,-999.0,-999.9
1926-04-01,-999.0,-999.9
1926-05-01,-999.0,-999.9
1926-06-01,-999.0,-999.9
1926-07-01,-999.0,-999.9
1926-08-01,-999.0,-999.9
1926-09-01,-999.0,-999.9
1926-10-01,-999.0,-999.9
1926-11-01,-999.0,-999.9
1926-12-01,-999.0,-999.9
1927-01-01,-999.0,-999.9
1927-02-01,-999.0,-999.9
1927-03-01,-999.0,-999.9
1927-04-01,-999.0,-999.9
1927-05-01,-999.0,-999.9
1927-06-01,-999.0,-999.9
1927-07-01,-999.0,-999.9
1927-08-01,-999.0,-999.9
1927-09-01,-999.0,-999.9
1927-10-01,-999.0,-999.9
1927-11-01,-999.0,-999.9
1927-12-01,-999.0,-999.9
1928-01-01,-999.0,-999.9
1928-02-01,-999.0,-999.9
1928-03-01,-999.0,-999.9
1928-04-01,-999.0,-999.9
1928-05-01,-999.0,-999.9
1928-06-01,-999.0,-999.9
1928-07-01,-999.0,-999.9
1928-08-01,-999.0,-999.9
1928-09-01,-999.0,-999.9
1928-10-01,-999.0,-999.9
1928-11-01,-999.0,-999.9
1928-12-01,-999.0,-999.9
1929-01-01,-999.0,-999.9
1929-02-01,-999.0,-999.9
1929-03-01,-999.0,-999.9
1929-04-01,-999.0,-999.9
1929-05-01,-999.0,-999.9
1929-06-01,-999.0,-999.9
1929-07-01,-999.0,-999.9
1929-08-01,-999.0,-999.9
1929-09-01,-999.0,-999.9
1929-10-01,-999.0,-999.9
1929-11-01,-999.0,-999.9
1929-12-01,-999.0,-999.9
1930-01-01,-999.0,-999.9
1930-02-01,-999.0,-999.9
1930-03-01,-999.0,-999.9
1930-04-01,-999.0,-999.9
1930-05-01,-999.0,-999.9
1930-06-01,-999.0,-999.9
1930-07-01,-999.0,-999.9
1930-08-01,-999.0,-999.9
1930-09-01,-999.0,-999.9
1930-10-01,-999.0,-999.9
1930-11-01,-999.0,-999.9
1930-12-01,-999.0,-999.9
1931-01-01,-999.0,-999.9
1931-02-01,-999.0,-999.9
1931-03-01,-999.0,-999.9
1931-04-01,-999.0,-999.9
1931-05-01,-999.0,-999.9
1931-06-01,-999.0,-999.9
1931-07-01,-999.0,-999.9
1931-08-01,-999.0,-999.9
1931-09-01,-999.0,-999.9
1931-10-01,-999.0,-999.9
1931-11-01,-999.0,-999.9
1931-12-01,-999.0,-999.9
1932-01-01,-999.0,-999.9
1932-02-01,-999.0,-999.9
1932-03-01,-999.0,-999.9
1932-04-01,-999.0,-999.9
1932-05-01,-999.0,-999.9
1932-06-01,-999.0,-999.9
1932-07-01,-999.0,-999.9
1932-08-01,-999.0,-999.9
1932-09-01,-999.0,-999.9
1932-10-01,-999.0,-999.9
1932-11-01,-999.0,-999.9
1932-12-01,-999.0,-999.9
1933-01-01,-999.0,-999.9
1933-02-01,-999.0,-999.9
1933-03-01,-999.0,-999.9
1933-04-01,-999.0,-999.9
1933-05-01,-999.0,-999.9
1933-06-01,-999.0,-999.9
1933-07-01,-999.0,-999.9
1933-08-01,-999.0,-999.9
1933-09-01,-999.0,-999.9
1933-10-01,-999.0,-999.9
1933-11-01,-999.0,-999.9
1933-12-01,-999.0,-999.9
1934-01-01,-999.0,-999.9
1934-02-01,-999.0,-999.9
1934-03-01,-999.0,-999.9
1934-04-01,-999.0,-999.9
1934-05-01,-999.0,-999.9
1934-06-01,-999.0,-999.9
1934-07-01,-999.0,-999.9
1934-08-01,-999.0,-999.9
1934-09-01,-999.0,-999.9
1934-10-01,-999.0,-999.9
1934-11-01,-999.0,-999.9
1934-12-01,-999.0,-999.9
1935-01-01,-999.0,-999.9
1935-02-01,-999.0,-999.9
1935-03-01,-999.0,-999.9
1935-04-01,-999.0,-999.9
1935-05-01,-999.0,-999.9
1935-06-01,-999.0,-999.9
1935-07-01,-999.0,-999.9
1935-08-01,-999.0,-999.9
1935-09-01,-999.0,-999.9
1935-10-01,-999.0,-999.9
1935-11-01,-999.0,-999.9
1935-12-01,-999.0,-999.9
1936-01-01,-999.0,-999.9
1936-02-01,-999.0,-999.9
1936-03-01,-999.0,-999.9
1936-04-01,-999.0,-999.9
1936-05-01,-999.0,-999.9
1936-06-01,-999.0,-999.9
1936-07-01,-999.0,-999.9
1936-08-01,-999.0,-999.9
1936-09-01,-999.0,-999.9
1936-10-01,-999.0,-999.9
1936-11-01,-999.0,-999.9
1936-12-01,-999.0,-999.9
1937-01-01,-999.0,-999.9
1937-02-01,-999.0,-999.9
1937-03-01,-999.0,-999.9
1937-04-01,-999.0,-999.9
1937-05-01,-999.0,-999.9
1937-06-01,-999.0,-999.9
1937-07-01,-999.0,-999.9
1937-08-01,-999.0,-999.9
1937-09-01,-999.0,-999.9
1937-10-01,-999.0,-999.9
1937-11-01,-999.0,-999.9
1937-12-01,-999.0,-999.9
1938-01-01,-999.0,-999.9
1938-02-01,-999.0,-999.9
1938-03-01,-999.0,-999.9
1938-04-01,-999.0,-999.9
1938-05-01,-999.0,-999.9
1938-06-01,-999.0,-999.9
1938-07-01,-999.0,-999.9
1938-08-01,-999.0,-999.9
1938-09-01,-999.0,-999.9
1938-10-01,-999.0,-999.9
1938-11-01,-999.0,-999.9
1938-12-01,-999.0,-999.9
1939-01-01,-999.0,-999.9
1939-02-01,-999.0,-999.9
1939-03-01,-999.0,-999.9
1939-04-01,-999.0,-999.9
1939-05-01,-999.0,-999.9
1939-06-01,-999.0,-999.9
1939-07-01,-999.0,-999.9
1939-08-01,-999.0,-999.9
1939-09-01,-999.0,-999.9
1939-10-01,-999.0,-999.9
1939-11-01,-999.0,-999.9
1939-12-01,-999.0,-999.9
1940-01-01,-999.0,-999.9
1940-02-01,-999.0,-999.9
1940-03-01,-999.0,-999.9
1940-04-01,-999.0,-999.9
1940-05-01,-999.0,-999.9
1940-06-01,-999.0,-999.9
1940-07-01,-999.0,-999.9
1940-08-01,-999.0,-999.9
1940-09-01,-999.0,-999.9
1940-10-01,-999.0,-999.9
1940-11-01,-999.0,-999.9
1940-12-01,-999.0,-999.9
1941-01-01,-999.0,-999.9
1941-02-01,-999.0,-999.9
1941-03-01,-999.0,-999.9
1941-04-01,-999.0,-999.9
1941-05-01,-999.0,-999.9
1941-06-01,-999.0,-999.9
1941-07-01,-999.0,-999.9
1941-08-01,-999.0,-999.9
1941-09-01,-999.0,-999.9
1941-10-01,-999.0,-999.9
1941-11-01,-999.0,-999.9
1941-12-01,-999.0,-999.9
1942-01-01,-999.0,-999.9
1942-02-01,-999.0,-999.9
1942-03-01,-999.0,-999.9
1942-04-01,-999.0,-999.9
1942-05-01,-999.0,-999.9
1942-06-01,-999.0,-999.9
1942-07-01,-999.0,-999.9
1942-08-01,-999.0,-999.9
1942-09-01,-999.0,-999.9
1942-10-01,-999.0,-999.9
1942-11-01,-999.0,-999.9
1942-12-01,-999.0,-999.9
1943-01-01,-999.0,-999.9
1943-02-01,-999.0,-999.9
1943-03-01,-999.0,-999.9
1943-04-01,-999.0,-999.9
1943-05-01,-999.0,-999.9
1943-06-01,-999.0,-999.9
1943-07-01,-999.0,-999.9
1943-08-01,-999.0,-999.9
1943-09-01,-999.0,-999.9
1943-10-01,-999.0,-999.9
1943-11-01,-999.0,-999.9
1943-12-01,-999.0,-999.9
1944-01-01,-999.0,-999.9
1944-02-01,-999.0,-999.9
1944-03-01,-999.0,-999.9
1944-04-01,-999.0,-999.9
1944-05-01,-999.0,-999.9
1944-06-01,-999.0,-999.9
1944-07-01,-999.0,-999.9
1944-08-01,-999.0,-999.9
1944-09-01,-999.0,-999.9
1944-10-01,-999.0,-999.9
1944-11-01,-999.0,-999.9
1944-12-01,-999.0,-999.9
1945-01-01,-999.0,-999.9
1945-02-01,-999.0,-999.9
1945-03-01,-999.0,-999.9
1945-04-01,-999.0,-999.9
1945-05-01,-999.0,-999.9
1945-06-01,-999.0,-999.9
1945-07-01,-999.0,-999.9
1945-08-01,-999.0,-999.9
1945-09-01,-999.0,-999.9
1945-10-01,-999.0,-999.9
1945-11-01,-999.0,-999.9
1945-12-01,-999.0,-999.9
1946-01-01,-999.0,-999.9
1946-02-01,-999.0,-999.9
1946-03-01,-999.0,-999.9
1946-04-01,-999.0,-999.9
1946-05-01,-999.0,-999.9
1946-06-01,-999.0,-999.9
1946-07-01,-999.0,-999.9
1946-08-01,-999.0,-999.9
1946-09-01,-999.0,-999.9
1946-10-01,-999.0,-999.9
1946-11-01,-999.0,-999.9
1946-12-01,-999.0,-999.9
1947-01-01,-999.0,-999.9
1947-02-01,-999.0,-999.9
1947-03-01,-999.0,-999.9
1947-04-01,-999.0,-999.9
1947-05-01,-999.0,-999.9
1947-06-01,-999.0,-999.9
1947-07-01,-999.0,-999.9
1947-08-01,-999.0,-999.9
1947-09-01,-999.0,-999.9
1947-10-01,-999.0,-999.9
1947-11-01,-999.0,-999.9
1947-12-01,-999.0,-999.9
1948-01-01,-999.0,-999.9
1948-02-01,-999.0,-999.9
1948-03-01,-999.0,-999.9
1948-04-01,-999.0,-999.9
1948-05-01,-999.0,-999.9
1948-06-01,-999.0,-999.9
1948-07-01,-999.0,-999.9
1948-08-01,-999.0,-999.9
1948-09-01,-999.0,-999.9
1948-10-01,-999.0,-999.9
1948-11-01,-999.0,-999.9
1948-12-01,-999.0,-999.9
1949-01-01,-999.0,-999.9
1949-02-01,-999.0,-999.9
1949-03-01,-999.0,-999.9
1949-04-01,-999.0,-999.9
1949-05-01,-999.0,-999.9
1949-06-01,-999.0,-999.9
1949-07-01,-999.0,-999.9
1949-08-01,-999.0,-999.9
1949-09-01,-999.0,-999.9
1949-10-01,-999.0,-999.9
1949-11-01,-999.0,-999.9
1949-12-01,-999.0,-999.9
1950-01-01,-999.0,-999.9
1950-02-01,-999.0,-999.9
1950-03-01,-999.0,-999.9
1950-04-01,-999.0,-999.9
1950-05-01,-999.0,-999.9
1950-06-01,-999.0,-999.9
1950-07-01,-999.0,-999.9
1950-08-01,-999.0,-999.9
1950-09-01,-999.0,-999.9
1950-10-01,-999.0,-999.9
1950-11-01,-999.0,-999.9
1950-12-01,-999.0,-999.9
1951-01-01,-999.0,-999.9
1951-02-01,-999.0,-999.9
1951-03-01,-999.0,-999.9
1951-04-01,-999.0,-999.9
1951-05-01,-999.0,-999.9
1951-06-01,-999.0,-999.9
1951-07-01,-999.0,-999.9
1951-08-01,-999.0,-999.9
1951-09-01,-999.0,-999.9
1951-10-01,-999.0,-999.9
1951-11-01,-999.0,-999.9
1951-12-01,-999.0,-999.9
1952-01-01,-999.0,-999.9
1952-02-01,-999.0,-999.9
1952-03-01,-999.0,-999.9
1952-04-01,-999.0,-999.9
1952-05-01,-999.0,-999.9
1952-06-01,-999.0,-999.9
1952-07-01,-999.0,-999.9
1952-08-01,-999.0,-999.9
1952-09-01,-999.0,-999.9
1952-10-01,-999.0,-999.9
1952-11-01,-999.0,-999.9
1952-12-01,-999.0,-999.9
1953-01-01,-999.0,-999.9
1953-02-01,-999.0,-999.9
1953-03-01,-999.0,-999.9
1953-04-01,-999.0,-999.9
1953-05-01,-999.0,-999.9
1953-06-01,-999.0,-999.9
1953-07-01,-999.0,-999.9
1953-08-01,-999.0,-999.9
1953-09-01,-999.0,-999.9
1953-10-01,-999.0,-999.9
1953-11-01,-999.0,-999.9
1953-12-01,-999.0,-999.9
1954-01-01,-999.0,-999.9
1954-02-01,-999.0,-999.9
1954-03-01,-999.0,-999.9
1954-04-01,-999.0,-999.9
1954-05-01,-999.0,-999.9
1954-06-01,-999.0,-999.9
1954-07-01,-999.0,-999.9
1954-08-01,-999.0,-999.9
1954-09-01,-999.0,-999.9
1954-10-01,-999.0,-999.9
1954-11-01,-999.0,-999.9
1954-12-01,-999.0,-999.9
1955-01-01,-999.0,-999.9
1955-02-01,-999.0,-999.9
1955-03-01,-999.0,-999.9
1955-04-01,-999.0,-999.9
1955-05-01,-999.0,-999.9
1955-06-01,-999.0,-999.9
1955-07-01,-999.0,-999.9
1955-08-01,-999.0,-999.9
1955-09-01,-999.0,-999.9
1955-10-01,-999.0,-999.9
1955-11-01,-999.0,-999.9
1955-12-01,-999.0,-999.9
1956-01-01,-999.0,-999.9
1956-02-01,-999.0,-999.9
1956-03-01,-999.0,-999.9
1956-04-01,-999.0,-999.9
1956-05-01,-999.0,-999.9
1956-06-01,-999.0,-999.9
1956-07-01,-999.0,-999.9
1956-08-01,-999.0,-999.9
1956-09-01,-999.0,-999.9
1956-10-01,-999.0,-999.9
1956-11-01,-999.0,-999.9
1956-12-01,-999.0,-999.9
1957-01-01,-999.0,-999.9
1957-02-01,-999.0,-999.9
1957-03-01,-999.0,-999.9
1957-04-01,-999.0,-999.9
1957-05-01,-999.0,-999.9
1957-06-01,-999.0,-999.9
1957-07-01,-999.0,-999.9
1957-08-01,-999.0,-999.9
1957-09-01,-999.0,-999.9
1957-10-01,-999.0,-999.9
1957-11-01,-999.0,-999.9
1957-12-01,-999.0,-999.9
1958-01-01,-999.0,-999.9
1958-02-01,-999.0,-999.9
1958-03-01,-999.0,-999.9
1958-04-01,-999.0,-999.9
1958-05-01,-999.0,-999.9
1958-06-01,-999.0,-999.9
1958-07-01,-999.0,-999.9
1958-08-01,-999.0,-999.9
1958-09-01,-999.0,-999.9
1958-10-01,-999.0,-999.9
1958-11-01,-999.0,-999.9
1958-12-01,-999.0,-999.9
1959-01-01,-999.0,-999.9
1959-02-01,-999.0,-999.9
1959-03-01,-999.0,-999.9
1959-04-01,-999.0,-999.9
1959-05-01,-999.0,-999.9
1959-06-01,-999.0,-999.9
1959-07-01,-999.0,-999.9
1959-08-01,-999.0,-999.9
1959-09-01,-999.0,-999.9
1959-10-01,-999.0,-999.9
1959-11-01,-999.0,-999.9
1959-12-01,-999.0,-999.9
1960-01-01,-999.0,-999.9
1960-02-01,-999.0,-999.9
1960-03-01,-999.0,-999.9
1960-04-01,-999.0,-999.9
1960-05-01,-999.0,-999.9
1960-06-01,-999.0,-999.9
1960-07-01,-999.0,-999.9
1960-08-01,-999.0,-999.9
1960-09-01,-999.0,-999.9
1960-10-01,-999.0,-999.9
1960-11-01,-999.0,-999.9
1960-12-01,-999.0,-999.9
1961-01-01,-999.0,-999.9
1961-02-01,-999.0,-999.9
1961-03-01,-999.0,-999.9
1961-04-01,-999.0,-999.9
1961-05-01,-999.0,-999.9
1961-06-01,-999.0,-999.9
1961-07-01,-999.0,-999.9
1961-08-01,-999.0,-999.9
1961-09-01,-999.0,-999.9
1961-10-01,-999.0,-999.9
1961-11-01,-999.0,-999.9
1961-12-01,-999.0,-999.9
1962-01-01,-999.0,-999.9
1962-02-01,-999.0,-999.9
1962-03-01,-999.0,-999.9
1962-04-01,-999.0,-999.9
1962-05-01,-999.0,-999.9
1962-06-01,-999.0,-999.9
1962-07-01,-999.0,-999.9
1962-08-01,-999.0,-999.9
1962-09-01,-999.0,-999.9
1962-10-01,-999.0,-999.9
1962-11-01,-999.0,-999.9
1962-12-01,-999.0,-999.9
1963-01-01,-999.0,-999.9
1963-02-01,-999.0,-999.9
1963-03-01,-999.0,-999.9
1963-04-01,-999.0,-999.9
1963-05-01,-999.0,-999.9
1963-06-01,-999.0,-999.9
1963-07-01,-999.0,-999.9
1963-08-01,-999.0,-999.9
1963-09-01,-999.0,-999.9
1963-10-01,-999.0,-999.9
1963-11-01,-999.0,-999.9
1963-12-01,-999.0,-999.9
1964-01-01,-999.0,-999.9
1964-02-01,-999.0,-999.9
1964-03-01,-999.0,-999.9
1964-04-01,-999.0,-999.9
1964-05-01,-999.0,-999.9
1964-06-01,-999.0,-999.9
1964-07-01,-999.0,-999.9
1964-08-01,-999.0,-999.9
1964-09-01,-999.0,-999.9
1964-10-01,-999.0,-999.9
1964-11-01,-999.0,-999.9
1964-12-01,-999.0,-999.9
1965-01-01,-999.0,-999.9
1965-02-01,-999.0,-999.9
1965-03-01,-999.0,-999.9
1965-04-01,-999.0,-999.9
1965-05-01,-999.0,-999.9
1965-06-01,-999.0,-999.9
1965-07-01,-999.0,-999.9
1965-08-01,-999.0,-999.9
1965-09-01,-999.0,-999.9
1965-10-01,-999.0,-999.9
1965-11-01,-999.0,-999.9
1965-12-01,-999.0,-999.9
1966-01-01,-999.0,-999.9
1966-02-01,-999.0,-999.9
1966-03-01,-999.0,-999.9
1966-04-01,-999.0,-999.9
1966-05-01,-999.0,-999.9
1966-06-01,-999.0,-999.9
1966-07-01,-999.0,-999.9
1966-08-01,-999.0,-999.9
1966-09-01,-999.0,-999.9
1966-10-01,-999.0,-999.9
1966-11-01,-999.0,-999.9
1966-12-01,-999.0,-999.9
1967-01-01,-999.0,-999.9
1967-02-01,-999.0,-999.9
1967-03-01,-999.0,-999.9
1967-04-01,-999.0,-999.9
1967-05-01,-999.0,-999.9
1967-06-01,-999.0,-999.9
1967-07-01,-999.0,-999.9
1967-08-01,-999.0,-999.9
1967-09-01,-999.0,-999.9
1967-10-01,-999.0,-999.9
1967-11-01,-999.0,-999.9
1967-12-01,-999.0,-999.9
1968-01-01,-999.0,-999.9
1968-02-01,-999.0,-999.9
1968-03-01,-999.0,-999.9
1968-04-01,-999.0,-999.9
1968-05-01,-999.0,-999.9
1968-06-01,-999.0,-999.9
1968-07-01,-999.0,-999.9
1968-08-01,-999.0,-999.9
1968-09-01,-999.0,-999.9
1968-10-01,-999.0,-999.9
1968-11-01,-999.0,-999.9
1968-12-01,-999.0,-999.9
1969-01-01,-999.0,-999.9
1969-02-01,-999.0,-999.9
1969-03-01,-999.0,-999.9
1969-04-01,-999.0,-999.9
1969-05-01,-999.0,-999.9
1969-06-01,-999.0,-999.9
1969-07-01,-999.0,-999.9
1969-08-01,-999.0,-999.9
1969-09-01,-999.0,-999.9
1969-10-01,-999.0,-999.9
1969-11-01,-999.0,-999.9
1969-12-01,-999.0,-999.9
1970-01-01,-999.0,-999.9
1970-02-01,-999.0,-999.9
1970-03-01,-999.0,-999.9
1970-04-01,-999.0,-999.9
1970-05-01,-999.0,-999.9
1970-06-01,-999.0,-999.9
1970-07-01,-999.0,-999.9
1970-08-01,-999.0,-999.9
1970-09-01,-999.0,-999.9
1970-10-01,-999.0,-999.9
1970-11-01,-999.0,-999.9
1970-12-01,-999.0,-999.9
1971-01-01,-999.0,-999.9
1971-02-01,-999.0,-999.9
1971-03-01,-999.0,-999.9
1971-04-01,-999.0,-999.9
1971-05-01,-999.0,-999.9
1971-06-01,-999.0,-999.9
1971-07-01,-999.0,-999.9
1971-08-01,-999.0,-999.9
1971-09-01,-999.0,-999.9
1971-10-01,-999.0,-999.9
1971-11-01,-999.0,-999.9
1971-12-01,-999.0,-999.9
1972-01-01,-999.0,-999.9
1972-02-01,-999.0,-999.9
1972-03-01,-999.0,-999.9
1972-04-01,-999.0,-999.9
1972-05-01,-999.0,-999.9
1972-06-01,-999.0,-999.9
1972-07-01,-999.0,-999.9
1972-08-01,-999.0,-999.9
1972-09-01,-999.0,-999.9
1972-10-01,-999.0,-999.9
1972-11-01,-999.0,-999.9
1972-12-01,-999.0,-999.9
1973-01-01,-999.0,-999.9
1973-02-01,-999.0,-999.9
1973-03-01,-999.0,-999.9
1973-04-01,-999.0,-999.9
1973-05-01,-999.0,-999.9
1973-06-01,-999.0,-999.9
1973-07-01,-999.0,-999.9
1973-08-01,-999.0,-999.9
1973-09-01,-999.0,-999.9
1973-10-01,-999.0,-999.9
1973-11-01,-999.0,-999.9
1973-12-01,-999.0,-999.9
1974-01-01,-999.0,-999.9
1974-02-01,-999.0,-999.9
1974-03-01,-999.0,-999.9
1974-04-01,-999.0,-999.9
1974-05-01,-999.0,-999.9
1974-06-01,-999.0,-999.9
1974-07-01,-999.0,-999.9
1974-08-01,-999.0,-999.9
1974-09-01,-999.0,-999.9
1974-10-01,-999.0,-999.9
1974-11-01,-999.0,-999.9
1974-12-01,-999.0,-999.9
1975-01-01,-999.0,-999.9
1975-02-01,-999.0,-999.9
1975-03-01,-999.0,-999.9
1975-04-01,-999.0,-999.9
1975-05-01,-999.0,-999.9
1975-06-01,-999.0,-999.9
1975-07-01,-999.0,-999.9
1975-08-01,-999.0,-999.9
1975-09-01,-999.0,-999.9
1975-10-01,-999.0,-999.9
1975-11-01,-999.0,-999.9
1975-12-01,-999.0,-999.9
1976-01-01,-999.0,-999.9
1976-02-01,-999.0,-999.9
1976-03-01,-999.0,-999.9
1976-04-01,-999.0,-999.9
1976-05-01,-999.0,-999.9
1976-06-01,-999.0,-999.9
1976-07-01,-999.0,-999.9
1976-08-01,-999.0,-999.9
1976-09-01,-999.0,-999.9
1976-10-01,-999.0,-999.9
1976-11-01,-999.0,-999.9
1976-12-01,-999.0,-999.9
1977-01-01,-999.0,-999.9
1977-02-01,-999.0,-999.9
1977-03-01,-999.0,-999.9
